gap> ScanRange(1, 120);

============================================================
  SCANNING GROUPS: order 1 to 120
  (Reproducing Velasquez-Berroteran 2022, aiming past 60)
============================================================
  Order    ID                 Group  Equal Covering?
     64    58  C4 x ((C4 x C2) : C2)  YES
     64    59        C4 x (C4 : C4)  YES
     64    60  (C2 x C2) : ((C4 x C2) : C2)  YES
     64    61  C4 : ((C4 x C2) : C2)  YES
     64    62   (C4 x C2 x C2) : C4  YES
     64    63        (C4 x C4) : C4  YES
     64    64        (C4 x C4) : C4  YES
     64    65        C4 : (C4 : C4)  YES
     64    66  (C2 x C2) : (C4 : C4)  YES
     64    67  (C2 x C2) : ((C4 x C2) : C2)  YES
     64    68        (C4 : C4) : C4  YES
     64    69  ((C4 x C2) : C2) : C4  YES
     64    70        C4 : (C4 : C4)  YES
     64    71  C4 : ((C4 x C2) : C2)  YES
     64    72        (C4 x C2) : Q8  YES
     64    73        (C4 x C2) : D8  YES
     64    74   (C2 x C2 x C2) : Q8  YES
     64    75        (C4 x C2) : D8  YES
     64    76        (C4 x C2) : Q8  YES
     64    77  ((C4 x C2) : C4) : C2  YES
     64    78  ((C4 x C2) : C4) : C2  YES
     64    79  (C2 x C2 x C2) . (C2 x C2 x C2)  YES
     64    80  (C2 x (C4 : C4)) : C2  YES
     64    81  (C2 x C2 x C2) . (C2 x C2 x C2)  YES
     64    82  (C2 x C2 x C2) . (C2 x C2 x C2)  YES
     64    83          C8 x C4 x C2  YES
     64    84        C2 x (C8 : C4)  YES
     64    85        C4 x (C8 : C2)  YES
     64    86        (C8 : C2) : C4  YES
     64    87  C2 x ((C8 x C2) : C2)  YES
     64    88  (C2 x C2) : (C8 : C2)  YES
     64    89  ((C8 x C2) : C2) : C2  YES
     64    90  C2 x ((C2 x C2 x C2) : C4)  YES
     64    91        (C2 x Q8) : C4  YES
     64    92  C2 x ((C8 : C2) : C2)  YES
     64    93  C2 x (C2 . ((C4 x C2) : C2) = (C2 x C2) . (C4 x C2))  YES
     64    94  (C2 . ((C4 x C2) : C2) = (C2 x C2) . (C4 x C2)) : C2  YES
     64    95  C2 x ((C8 x C2) : C2)  YES
     64    96        C2 x (Q8 : C4)  YES
     64    97  ((C4 x C2) : C2) : C4  YES
     64    98        Q8 : (C4 x C2)  YES
     64    99        (C2 x D8) : C4  YES
     64   100        (C2 x Q8) : C4  YES
     64   101  C2 x ((C4 x C4) : C2)  YES
     64   102        (C2 x Q8) : C4  YES
     64   103        C2 x (C4 : C8)  YES
     64   104        C4 : (C8 : C2)  YES
     64   105        (C4 : C8) : C2  YES
     64   106        C2 x (C8 : C4)  YES
     64   107        C2 x (C8 : C4)  YES
     64   108        (C8 x C2) : C4  YES
     64   109        C8 : (C4 x C2)  YES
     64   110  C2 x (C4 . D8 = C4 . (C4 x C2))  YES
     64   111  (C4 . D8 = C4 . (C4 x C2)) : C2  YES
     64   112        (C4 x C2) : C8  YES
     64   113        (C4 : C8) : C2  YES
     64   114        (C4 : C8) : C2  YES
     64   115               C8 x D8  YES
     64   116  (C2 x C2) : (C8 : C2)  YES
     64   117        C4 : (C8 : C2)  YES
     64   118              C4 x D16  YES
     64   119             C4 x QD16  YES
     64   120              C4 x Q16  YES
     64   121        C8 : (C4 x C2)  YES
     64   122              Q16 : C4  YES
     64   123        C8 : (C4 x C2)  YES
     64   124             QD16 : C4  YES
     64   125              Q16 : C4  YES
     64   126               C8 x Q8  YES
     64   127               C8 : Q8  YES
     64   128       (C2 x C2) : D16  YES
     64   129      (C2 x C2) : QD16  YES
     64   130               Q8 : D8  YES
     64   131      (C2 x C2) : QD16  YES
     64   132       (C2 x C2) : Q16  YES
     64   133        (Q8 : C4) : C2  YES
     64   134               Q8 : D8  YES
     64   135  ((C4 x C4) : C2) : C2  YES
     64   136  (C8 : C2) : (C2 x C2)  YES
     64   137  ((C4 x C4) : C2) : C2  YES
     64   138        (C4 x C2) : D8  YES
     64   139  ((C4 x C2) : C2) : (C2 x C2)  YES
     64   140              C4 : D16  YES
     64   141             C4 : QD16  YES
     64   142             C4 : QD16  YES
     64   143              C4 : Q16  YES
     64   144        (Q8 : C4) : C2  YES
     64   145        (Q8 : C4) : C2  YES
     64   146      (C2 x C2) : QD16  YES
     64   147       (C2 x C2) : D16  YES
     64   148       (C2 x C2) : Q16  YES
     64   149               C8 : D8  YES
     64   150               C8 : D8  YES
     64   151        (Q8 : C4) : C2  YES
     64   152  (C2 . ((C4 x C2) : C2) = (C2 x C2) . (C4 x C2)) : C2  YES
     64   153  ((C8 : C2) : C2) : C2  YES
     64   154  (C2 . ((C4 x C2) : C2) = (C2 x C2) . (C4 x C2)) : C2  YES
     64   155               D8 : Q8  YES
     64   156               Q8 : Q8  YES
     64   157               D8 : Q8  YES
     64   158               Q8 : Q8  YES
     64   159        (C8 : C4) : C2  YES
     64   160  (C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2)  YES
     64   161        (C8 : C4) : C2  YES
     64   162        (C8 : C4) : C2  YES
     64   163        (C8 : C4) : C2  YES
     64   164        (C8 : C4) : C2  YES
     64   165        (C8 : C4) : C2  YES
     64   166        (C8 : C4) : C2  YES
     64   167        (C4 : Q8) : C2  YES
     64   168  (C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2)  YES
     64   169  ((C2 x C2) . (C2 x C2 x C2)) : C2  YES
     64   170        (C4 : Q8) : C2  YES
     64   171  ((C2 x C2) . (C2 x C2 x C2)) : C2  YES
     64   172  (C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2)  YES
     64   173             C4 : QD16  YES
     64   174              C4 : D16  YES
     64   175              C4 : Q16  YES
     64   176       (C2 x Q16) : C2  YES
     64   177               C8 : D8  YES
     64   178       (C2 x Q16) : C2  YES
     64   179               C8 : Q8  YES
     64   180  (C2 x C2) . (C2 x D8) = (C4 x C2) . (C2 x C2 x C2)  YES
     64   181               C8 : Q8  YES
     64   182               C8 : Q8  YES
     64   183         C16 x C2 x C2  YES
     64   184       C2 x (C16 : C2)  YES
     64   185       (C16 : C2) : C2  YES
     64   186              C2 x D32  YES
     64   187             C2 x QD32  YES
     64   188              C2 x Q32  YES
     64   189              Q32 : C2  YES
     64   190       C16 : (C2 x C2)  YES
     64   191              Q32 : C2  YES
     64   192     C4 x C4 x C2 x C2  YES
     64   193  C2 x C2 x ((C4 x C2) : C2)  YES
     64   194   C2 x C2 x (C4 : C4)  YES
     64   195  C2 x ((C4 x C4) : C2)  YES
     64   196          C2 x C4 x D8  YES
     64   197          C2 x C4 x Q8  YES
     64   198  C4 x ((C4 x C2) : C2)  YES
     64   199        D8 : (C4 x C2)  YES
     64   200        (C2 x Q8) : C4  YES
     64   201        Q8 : (C4 x C2)  YES
     64   202  C2 x ((C2 x C2 x C2 x C2) : C2)  YES
     64   203  C2 x ((C4 x C2 x C2) : C2)  YES
     64   204  C2 x ((C2 x Q8) : C2)  YES
     64   205  C2 x ((C4 x C2 x C2) : C2)  YES
     64   206  (C2 x C2) : ((C4 x C2) : C2)  YES
     64   207  C2 x ((C4 x C4) : C2)  YES
     64   208  C2 x ((C2 x C2) . (C2 x C2 x C2))  YES
     64   209  C2 x ((C4 x C4) : C2)  YES
     64   210  ((C4 x C4) : C2) : C2  YES
     64   211  C2 x ((C4 x C4) : C2)  YES
     64   212        C2 x (C4 : Q8)  YES
     64   213  C4 : ((C4 x C2) : C2)  YES
     64   214        (C4 x C2) : Q8  YES
     64   215   (C2 x C2 x C2) : D8  YES
     64   216        (C4 x C2) : D8  YES
     64   217  ((C2 x Q8) : C2) : C2  YES
     64   218        (C4 x C2) : D8  YES
     64   219  (C2 x Q8) : (C2 x C2)  YES
     64   220  ((C4 x C4) : C2) : C2  YES
     64   221  ((C4 x C2 x C2) : C2) : C2  YES
     64   222  ((C2 x C2) . (C2 x C2 x C2)) : C2  YES
     64   223  ((C2 x Q8) : C2) : C2  YES
     64   224   (C2 x C2 x C2) : Q8  YES
     64   225        (C4 x C2) : Q8  YES
     64   226               D8 x D8  YES
     64   227               D8 : D8  YES
     64   228               D8 : D8  YES
     64   229               Q8 : D8  YES
     64   230               Q8 x D8  YES
     64   231               Q8 : D8  YES
     64   232  (C4 : C4) : (C2 x C2)  YES
     64   233  ((C4 x C4) : C2) : C2  YES
     64   234  ((C4 x C4) : C2) : C2  YES
     64   235               D8 : Q8  YES
     64   236  ((C4 x C4) : C2) : C2  YES
     64   237  ((C4 x C4) : C2) : C2  YES
     64   238               Q8 : Q8  YES
     64   239               Q8 x Q8  YES
     64   240  ((C4 x C2 x C2) : C2) : C2  YES
     64   241  (C4 : C4) : (C2 x C2)  YES
     64   242  ((C4 x C2) : C2) : (C2 x C2)  YES
     64   243  ((C2 x C2) . (C2 x C2 x C2)) : C2  YES
     64   244  ((C4 x C4) : C2) : C2  YES
     64   245  (C2 x C2) . (C2 x C2 x C2 x C2)  YES
     64   246     C8 x C2 x C2 x C2  YES
     64   247   C2 x C2 x (C8 : C2)  YES
     64   248  C2 x ((C8 x C2) : C2)  YES
     64   249  (C8 x C2) : (C2 x C2)  YES
     64   250         C2 x C2 x D16  YES
     64   251        C2 x C2 x QD16  YES
     64   252         C2 x C2 x Q16  YES
     64   253  C2 x ((C8 x C2) : C2)  YES
     64   254  C2 x (C8 : (C2 x C2))  YES
     64   255  C2 x ((C2 x Q8) : C2)  YES
     64   256      QD16 : (C2 x C2)  YES
     64   257       Q16 : (C2 x C2)  YES
     64   258      QD16 : (C2 x C2)  YES
     64   259       (C2 x Q16) : C2  YES
     64   260  C4 x C2 x C2 x C2 x C2  YES
     64   261     C2 x C2 x C2 x D8  YES
     64   262     C2 x C2 x C2 x Q8  YES
     64   263  C2 x C2 x ((C4 x C2) : C2)  YES
     64   264  C2 x ((C2 x C2 x C2) : (C2 x C2))  YES
